mua,mus,g,Rcd,Tcd,Tc
0.6507,18.3452,0.7747,0.187,0.404,0.0099
0.6096,18.3862,0.7733,0.1949,0.4108,0.0099
0.6356,18.3602,0.7722,0.1912,0.4046,0.0099
0.6168,18.3791,0.7708,0.1954,0.407,0.0099
0.6212,18.3746,0.7777,0.1906,0.4122,0.0099
0.6039,18.392,0.769,0.1977,0.409,0.0099
0.6322,18.3636,0.7687,0.1936,0.4025,0.0099
0.6045,18.3913,0.7734,0.196,0.4115,0.0099
0.6702,18.3257,0.7742,0.1847,0.3995,0.0099
0.614,18.3818,0.7716,0.1948,0.4089,0.0099
0.6216,18.3742,0.7694,0.1943,0.4057,0.0099
0.6303,18.3655,0.7764,0.1898,0.4092,0.0099
0.6599,18.336,0.7781,0.1843,0.4043,0.0099
0.6105,18.3854,0.7778,0.1919,0.4145,0.0099
0.6204,18.3754,0.7744,0.192,0.4099,0.0099
