mua,mus,g,Rcd,Tcd,Tc
0.1117,22.7282,0.454,0.5365,0.2976,0.0004
0.1131,22.7267,0.4546,0.5363,0.2963,0.0004
0.1137,22.7262,0.4535,0.5357,0.2965,0.0004
0.114,22.7259,0.4544,0.5368,0.2951,0.0004
0.1135,22.7264,0.4541,0.5366,0.2959,0.0004
0.1149,22.725,0.4551,0.5358,0.2951,0.0004
0.1122,22.7277,0.4543,0.5375,0.2965,0.0004
0.1102,22.7297,0.4536,0.5384,0.2973,0.0004
0.1157,22.7241,0.4533,0.5362,0.2938,0.0004
0.1158,22.724,0.4536,0.535,0.2947,0.0004
0.1125,22.7274,0.4556,0.5361,0.2971,0.0004
0.1139,22.726,0.4542,0.5359,0.2961,0.0004
0.1128,22.727,0.4537,0.5373,0.2959,0.0004
0.1145,22.7254,0.4547,0.5356,0.2958,0.0004
0.1114,22.7284,0.4549,0.5385,0.2963,0.0004
0.1137,22.7262,0.4531,0.5373,0.2947,0.0004
