a,g,R,T
0.8717466388345526,0.4763507535417933,0.128722,0.138851
0.9572150750591635,0.2729613633948318,0.317705,0.225249
0.9707192239100725,0.1841188889495532,0.38437,0.248041
0.8989325793411941,0.5884835037381811,0.131845,0.199872
0.8946871343085735,0.6550061425827087,0.111037,0.220019
0.8985257125457154,0.020345242276589355,0.24366,0.0944255
0.8287907908172889,0.7492132736986817,0.0483884,0.197058
0.962225230448531,0.20591095164411236,0.348493,0.225687
0.9176352480982386,0.553299729684939,0.164237,0.215602
0.9189128178189407,0.7722632733053213,0.101783,0.325758
0.9427572276063348,0.6742815071497364,0.171437,0.315378
0.9297209409141646,0.5735554361883509,0.178571,0.243882
0.9525712245650565,0.510279364228715,0.244843,0.275312
0.857209794129673,0.47775460701906897,0.116871,0.126788
0.9293730752730518,0.09262466563463928,0.284267,0.138439
0.9973899046770947,0.7360002515018459,0.338587,0.576749
0.864497547037653,0.8706160528798802,0.0362101,0.333636
0.9148275611529073,0.057559601487243525,0.26273,0.114597
0.9083015203533893,0.7577867056336935,0.0953441,0.296665
0.9980084707035733,0.37010587402152056,0.489618,0.432472
0.9600864526788511,0.15785018546588814,0.350838,0.210271
0.8263412843197175,0.16149429303138663,0.146991,0.0640406
0.8327942646565957,0.6925384511825615,0.0610871,0.172206
0.8353788544424959,0.8212389506489205,0.0372204,0.250534
0.9253090336470711,0.8979589537763912,0.0571032,0.478508
0.9419225737108041,0.5674431311130279,0.203528,0.267629
0.9473105096475224,0.09160360382335496,0.325663,0.169644
0.9611463315812625,0.3186569939164987,0.31929,0.247185
0.9339340522181965,0.33964090606488245,0.243833,0.188228
0.808563421173275,0.5429579574417916,0.0760864,0.10965
0.8005879482623784,0.7436612064142858,0.0402573,0.171533
0.8209590165392199,0.16877198826780415,0.141963,0.0623237
0.9886080879078427,0.8860040683224827,0.169357,0.662964
0.8353527166360408,0.7148163939744718,0.0577868,0.184524
0.9510173310921581,0.7319187521611362,0.167478,0.369273
0.9505530938206361,0.46259399964513176,0.252972,0.254372
0.9503114533820007,0.4395619463269598,0.25864,0.247379
0.8853126382134873,0.722260022508929,0.0853046,0.240497
0.8874931248886488,0.8491563595875383,0.0519971,0.342948
0.9096223003012285,0.5134163580643933,0.163375,0.191586
