mua,mus,g,Rcd,Tcd,Tc
0.1181,11.2269,0.0858,0.4997,0.3101,0.0195
0.1184,11.2267,0.0876,0.4998,0.31,0.0195
0.1185,11.2265,0.0862,0.4993,0.3102,0.0195
0.1181,11.227,0.086,0.5002,0.3098,0.0195
0.1179,11.2271,0.0856,0.5006,0.3098,0.0195
0.1182,11.2268,0.087,0.4994,0.3105,0.0195
0.1182,11.2268,0.0848,0.4999,0.3099,0.0195
0.1182,11.2268,0.0844,0.4995,0.3105,0.0195
0.1184,11.2266,0.0858,0.5002,0.3095,0.0195
0.1184,11.2267,0.0863,0.4997,0.3101,0.0195
0.1181,11.2269,0.0833,0.5007,0.3093,0.0195
0.1181,11.2269,0.0849,0.4989,0.3109,0.0195
0.118,11.227,0.086,0.5001,0.3101,0.0195
0.1182,11.2268,0.0856,0.5004,0.3094,0.0195
0.1183,11.2267,0.0841,0.5004,0.3095,0.0195
0.1183,11.2268,0.0856,0.5002,0.31,0.0195
