a,tau,mua,mus,g,d,Rcd,Tcd,Abs,Tc,dif
0.99,7.759999999999999,0.20638297872340444,20.43191489361702,0.44,0.376,0.482519,0.244347,0.245356,0.243957,573.1392010183577
0.9910000000000001,7.759999999999999,0.18574468085106396,20.45255319148936,0.44,0.376,0.493171,0.252616,0.226436,0.252226,592.6560366191324
0.992,7.760000000000001,0.16510638297872354,20.473191489361703,0.44,0.376,0.503641,0.262062,0.206519,0.261673,614.9497956446367
0.993,7.759999999999999,0.14446808510638312,20.49382978723404,0.44,0.376,0.516127,0.270688,0.185408,0.270298,635.3096626355992
0.9939999999999999,7.759999999999999,0.12382978723404266,20.51446808510638,0.44,0.376,0.528165,0.28109,0.162968,0.2807,659.8581391771768
0.995,7.759999999999999,0.10319148936170222,20.53510638297872,0.44,0.376,0.540597,0.292114,0.139511,0.291725,685.8762159372137
0.9960000000000001,7.759999999999999,0.08255319148936177,20.555744680851063,0.44,0.376,0.553177,0.30398,0.115065,0.30359,713.8750142443029
0.9995999999999999,7.760000000000001,0.00825531914893526,20.63004255319149,0.44,0.376,0.608089,0.35132,0.0128131,0.350931,825.5989157623661
0.9999000000000001,7.759999999999999,0.002063829787233815,20.63623404255319,0.44,0.376,0.613664,0.355323,0.00323467,0.354934,835.0478079699866
