mua,mus,g,Rcd,Tcd,Tc
0.2769,18.8065,0.6667,0.3476,0.3276,0.001
0.2723,18.8111,0.666,0.35,0.3288,0.001
0.2809,18.8025,0.6653,0.3467,0.3253,0.001
0.2772,18.8061,0.667,0.3475,0.3274,0.001
0.2737,18.8096,0.6661,0.3493,0.3281,0.001
0.2823,18.801,0.6653,0.3469,0.3244,0.001
0.2741,18.8092,0.6677,0.3482,0.3291,0.001
0.2829,18.8004,0.6668,0.3449,0.326,0.001
0.277,18.8063,0.6672,0.3478,0.3278,0.001
0.2869,18.7965,0.6675,0.3441,0.3239,0.001
0.2726,18.8108,0.6667,0.349,0.3294,0.001
0.2792,18.8041,0.6673,0.3469,0.3269,0.001
0.2759,18.8074,0.664,0.3493,0.3267,0.001
0.2766,18.8067,0.6665,0.3476,0.3277,0.001
0.2797,18.8037,0.6654,0.347,0.3259,0.001
0.2751,18.8083,0.6659,0.3489,0.3278,0.001
