mua,mus,g,Rcd,Tcd,Tc
0.1413,21.5397,0.4581,0.5064,0.3031,0.0008
0.1381,21.5429,0.4574,0.5081,0.3044,0.0008
0.142,21.539,0.4575,0.5061,0.303,0.0008
0.1437,21.5373,0.4582,0.5053,0.302,0.0008
0.1429,21.5381,0.4581,0.5047,0.3033,0.0008
0.1425,21.5385,0.4578,0.5055,0.3028,0.0008
0.1415,21.5395,0.4584,0.505,0.3042,0.0008
0.1413,21.5397,0.4584,0.5057,0.304,0.0008
0.1422,21.5388,0.4585,0.5053,0.3035,0.0008
