mua,mus,g,Rcd,Tcd,Tc
0.2261,17.5739,0.02,0.5475,0.1588,0.0008
0.2119,17.5881,0.0132,0.5565,0.1623,0.0008
0.2156,17.5844,0.0144,0.5539,0.1615,0.0008
0.2159,17.5841,0.0116,0.5548,0.1609,0.0008
0.2142,17.5858,0.0125,0.5546,0.1625,0.0008
0.2052,17.5948,0.0083,0.5603,0.1641,0.0008
0.2099,17.5901,0.0123,0.5571,0.1633,0.0008
0.2052,17.5948,0.011,0.5597,0.1648,0.0008
0.2111,17.5889,0.0118,0.5575,0.162,0.0008
0.2142,17.5858,0.0147,0.5543,0.1624,0.0008
0.219,17.581,0.0136,0.5529,0.1598,0.0008
0.2209,17.5791,0.0147,0.5508,0.1601,0.0008
0.217,17.583,0.0194,0.5532,0.1617,0.0008
