mua,mus,g,Rcd,Tcd,Tc
0.2131,23.5876,0.443,0.4932,0.2533,0.0004
0.2138,23.5869,0.4429,0.4925,0.2534,0.0004
0.2133,23.5873,0.4428,0.4924,0.2535,0.0004
0.2122,23.5885,0.4426,0.4936,0.2534,0.0004
0.2125,23.5882,0.4419,0.4941,0.2529,0.0004
0.2113,23.5894,0.4404,0.4948,0.2532,0.0004
0.2131,23.5875,0.4425,0.493,0.2536,0.0004
0.2122,23.5885,0.4416,0.4932,0.2536,0.0004
0.2132,23.5874,0.4424,0.4927,0.2532,0.0004
